,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,MA10,MA20,MA50,slopes,slopes20,slopess1p,slopes20s1p,vol_gt2,macdh_vol_gt1,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,last_max_20s1,last_min_20s1,cum_max,cum_maxs1,cum_min,cum_mins1,cum_min_mins,cum_max_maxs,max_Close_x,max_Close_fill,min_Close,min_Close_fill,buy_price,Buy,Buy_zero,Buy_count_tmp,Buy_count,Buy_count_compare,Sell,Sell_zero,Sell_count_tmp,Sell_count,max_Close_y,Buy,Sell
227,2022-08-31 13:50:00,12456.5,12456.5,12456.5,12456.5,30884.0,-0.14332684839064314,-0.7033749414904193,0.5600480930997762,46.144600669917914,0,0,12457.25,12460.3125,12456.305,2.082565279730885,-21.99611573564416,4.1596422937126425,-16.511328280980546,n,n,n,n,n,n,12473.25,12456.0,12473.25,12473.25,12407.25,12407.25,nan,nan,12456.5,12456.5,12434.0,12434.0,NaN,NaN,0,0,2,,,,1,228,12456.5,NaN,NaN
228,2022-08-31 13:51:00,12451.75,12451.75,12451.75,12451.75,30955.0,-0.6478627310734737,-0.9663286593385999,0.3184659282651262,38.36074288231071,0,0,12456.75,12460.1,12456.3,-16.539824001228926,-30.72559443518459,2.082565279730885,-21.99611573564416,n,n,n,n,n,n,12473.25,12456.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12456.5,,12434.0,NaN,NaN,0,0,2,,,,1,229,,NaN,NaN
229,2022-08-31 13:52:00,12452.5,12452.5,12452.5,12452.5,31020.0,-0.9759422661554709,-1.0355265555364777,0.05958428938100674,40.07945097461276,0,0,12456.35,12459.875,12456.275,-28.610459665965216,-36.93876273228983,-16.539824001228926,-30.72559443518459,n,y,n,n,n,n,12473.25,12451.75,12473.25,12473.25,12407.25,12407.25,nan,nan,,12456.5,,12434.0,NaN,NaN,0,0,2,,,,1,230,,NaN,NaN
230,2022-08-31 13:53:00,12448.0,12448.0,12448.0,12448.0,31131.0,-1.5808371467319375,-1.3123371488903555,-0.2684999978415821,33.96076548382413,0,0,12455.275,12459.275,12456.19,-40.06078445787381,-42.60005384061615,-28.610459665965216,-36.93876273228983,y,y,n,n,n,y,12473.25,12451.75,12473.25,12473.25,12407.25,12407.25,nan,nan,,12456.5,,12434.0,NaN,NaN,0,0,2,,,,1,231,,NaN,NaN
231,2022-08-31 13:54:00,12441.0,12441.0,12441.0,12441.0,31341.0,-2.595146957477482,-1.8613175677087197,-0.7338293897687621,27.044324005150056,0,1,12453.65,12458.075,12455.95,-56.09504073147007,-47.47166476163341,-40.06078445787381,-42.60005384061615,y,y,n,n,n,y,12473.25,12448.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12456.5,,12434.0,NaN,NaN,0,0,2,,,,1,232,,NaN,NaN
232,2022-08-31 13:55:00,12439.75,12439.75,12439.75,12439.75,31515.0,-3.459974906552816,-2.180916413427243,-1.2790584931255728,26.025044316729478,0,1,12452.025,12456.475,12455.705,-64.42386494445218,-48.64538506517352,-56.09504073147007,-47.47166476163341,y,y,n,n,n,y,12473.25,12441.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12456.5,,12434.0,NaN,NaN,0,0,2,,,,1,233,,NaN,NaN
233,2022-08-31 13:56:00,12436.5,12436.5,12436.5,12436.5,31740.0,-4.357376007319544,-2.4626540113551774,-1.894721995964367,23.540788701698283,0,1,12449.925,12454.6375,12455.425,-68.7478651981077,-49.15268746457207,-64.42386494445218,-48.64538506517352,y,y,n,n,n,y,12473.25,12439.75,12473.25,12473.25,12407.25,12407.25,nan,nan,,12456.5,,12434.0,NaN,NaN,0,0,2,,,,1,234,,NaN,NaN
234,2022-08-31 13:57:00,12434.0,12434.0,12434.0,12434.0,31834.0,-5.21024153063081,-2.6524156277331548,-2.5578259028976555,21.81568580796672,0,1,12447.575,12452.925,12455.065,-71.18432451087412,-51.03557610944715,-68.7478651981077,-49.15268746457207,y,y,n,n,n,y,12468.25,12436.5,12473.25,12473.25,12407.25,12407.25,nan,nan,,12456.5,,12434.0,NaN,NaN,0,0,2,,,,1,235,,NaN,NaN
235,2022-08-31 13:58:00,12437.0,12437.0,12437.0,12437.0,31905.0,-5.579748803531402,-2.417538320506997,-3.162210483024405,28.579373972468254,0,1,12445.525,12451.4875,12454.775,-70.6651914621736,-51.59513982530131,-71.18432451087412,-51.03557610944715,y,y,n,n,n,y,12465.75,12434.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12456.5,,12434.0,NaN,NaN,0,0,2,,,,1,236,,NaN,NaN
236,2022-08-31 13:59:00,12436.75,12436.75,12436.75,12436.75,31975.0,-5.825604942656355,-2.1307155677055603,-3.6948893749507947,28.359202324118254,0,1,12443.375,12450.3625,12454.435,-68.04186389062266,-53.45969437030214,-70.6651914621736,-51.59513982530131,y,y,n,n,n,y,12459.25,12434.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12456.5,,12434.0,NaN,NaN,0,0,2,,,,1,237,,NaN,NaN
