,Datetime,bs_test,bss1,bss2,Open,High,Low,Close,Volume,uptrend,bar_no,buysell,ret,count_no,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30
203,2023-03-23 23:46:00,,,,12861.5,12862.25,12860.0,12860.5,82,True,1.0,,,203,0.8344613723875227,0.09587775646582253,0.7385836159217002,51.62936924454804,0,0
204,2023-03-23 23:48:00,,,,12860.5,12861.75,12859.25,12860.0,70,True,1.0,,,204,0.6985701580069872,-0.03201076633177036,0.7305809243387575,49.85609964646295,0,0
205,2023-03-23 23:50:00,,,,12859.75,12861.0,12858.75,12858.75,64,True,1.0,,,205,0.4844266691561643,-0.19692340414607468,0.681350073302239,45.636111121485385,0,0
206,2023-03-23 23:52:00,,,,12859.0,12860.25,12858.25,12860.25,76,True,1.0,,,206,0.4307880192682205,-0.2004496432272148,0.6312376624954353,50.996385431209404,0,0
207,2023-03-23 23:54:00,,,,12860.25,12861.25,12859.5,12860.0,91,True,1.0,,,207,0.36391115090191306,-0.2138612092748179,0.577772360176731,50.109575284096394,0,0
208,2023-03-23 23:56:00,,,,12860.0,12861.0,12856.25,12857.0,200,True,1.0,,,208,0.06805136912407761,-0.40777679284212265,0.47582816196620026,40.914860483553575,0,0
209,2023-03-23 23:58:00,,,,12857.0,12858.25,12856.0,12857.25,144,True,1.0,,,209,-0.14458009944064543,-0.49632660912547655,0.3517465096848311,41.8720674594348,0,0
210,2023-03-24 00:00:00,,,,12857.5,12858.5,12856.0,12858.0,126,True,1.0,,,210,-0.2496950095755892,-0.4811532154083363,0.23145820583274707,44.76316227710719,0,0
211,2023-03-24 00:02:00,,,,12858.0,12860.75,12858.0,12860.75,125,True,1.0,,,211,-0.10983124959784618,-0.2730315643444746,0.1632003147466284,53.83065622370578,0,0
212,2023-03-24 00:04:00,,,,12861.0,12863.75,12860.5,12862.75,220,True,1.0,,,212,0.16054441704545752,-0.002124718160936734,0.16266913520639426,59.09041176955525,0,0
213,2023-03-24 00:06:00,,,,12863.25,12863.5,12860.0,12860.0,104,True,1.0,,,213,0.15117441892289207,-0.009195773026801746,0.16037019194969382,50.561070349267204,0,0
214,2023-03-24 00:08:00,,,,12860.0,12862.0,12859.25,12862.0,69,True,1.0,,,214,0.30165462644617946,0.1130275475971885,0.18862707884899096,55.58257475470475,0,0
215,2023-03-24 00:10:00,,,,12862.25,12862.75,12859.75,12859.75,136,True,1.0,,,215,0.236627385884276,0.038400245628228025,0.19822714025604798,49.492265721318724,0,0
216,2023-03-24 00:12:00,,,,12860.0,12861.75,12859.75,12861.75,70,True,1.0,,,216,0.3425276687958103,0.11544042283180983,0.22708724596400048,54.28708003854251,0,0
217,2023-03-24 00:14:00,,,,12861.75,12865.0,12861.5,12863.25,262,True,1.0,,,217,0.54125264636059,0.2513323203172716,0.2899203260433184,57.542550470959135,0,0
218,2023-03-24 00:16:00,,,,12863.0,12863.5,12862.5,12862.75,73,True,1.0,,,218,0.650894692644215,0.2887794932807172,0.36211519936349773,56.10817012499478,0,0
219,2023-03-24 00:18:00,,,,12862.5,12868.0,12862.5,12866.75,378,True,1.0,,,219,1.0484672965103528,0.5490816777174841,0.49938561879286875,63.8678483609127,0,0
220,2023-03-24 00:20:00,Buy,,,12866.75,12872.5,12866.0,12871.5,586,True,2.0,Buy,Buy,220,1.7269248374723247,0.9820313749435647,0.74489346252876,70.53054990521758,1,0
221,2023-03-24 00:22:00,Buy,Buy,,12871.5,12872.25,12869.0,12869.5,278,True,2.0,Buy,Buy,221,2.079255676258981,1.0674897709841769,1.0117659052748043,65.08827626024434,0,0
