,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,slopes10,vol_gt2,macd_vol_gt1,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,date,uptrend,dates1,min_Close,max_Close,Buy_n,Buy_loss_limit,Sell_n,Sell_loss_limit,Sell_n_f,Buy_n_f,BS_list,a,as1,chk_repeat,Buy,Sell,Buy_zero,Buy_count_tmp,Buy_count,Sell_zero,Sell_count_tmp,Sell_count
55,2022-11-05 00:55:00,10720.5,10727.0,10714.75,10714.75,619712.6857142857,-8.686377261565212,-6.256147851628714,-2.4302294099364987,37.58652850768212,0,0,-77.37653282672319,y,y,n,y,n,y,2022-11-05 00:55:00,False,2022-11-05T00:50:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
56,2022-11-05 00:56:00,10715.25,10718.0,10705.5,10707.5,621060.0833333334,-10.205048631125464,-6.219855376951172,-3.985193254174292,35.43655929445165,0,0,-75.23391346804942,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
57,2022-11-05 00:57:00,10706.0,10717.25,10706.0,10714.75,622269.4,-10.700246443388096,-5.3720425513710435,-5.3282038920170525,39.18292555202499,0,0,-69.39030706246794,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
58,2022-11-05 00:58:00,10714.75,10715.75,10708.0,10712.5,623146.1176470588,-11.14576898640371,-4.654052075509325,-6.491716910894384,38.43749390654354,0,0,-60.57254359681026,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
59,2022-11-05 00:59:00,10709.5,10712.5,10706.0,10706.0,623872.4117647059,-11.886326317981002,-4.315687525669294,-7.5706387923117076,36.28961940608868,0,0,-61.108352741146604,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
60,2022-11-05 01:00:00,10706.0,10721.25,10705.0,10719.5,624840.7941176471,-11.254155266447924,-2.9468131793089736,-8.30734208713895,43.36781053238478,0,0,-57.945779623797414,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
61,2022-11-05 01:01:00,10721.25,10721.25,10707.0,10713.5,626122.4571428571,-11.109244553521421,-2.241521973105977,-8.867722580415444,41.178129453159386,0,0,-60.16941880696031,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
62,2022-11-05 01:02:00,10713.5,10720.0,10698.5,10701.0,627213.3823529412,-11.866260438795507,-2.398830286704051,-9.467430152091456,36.98808472919846,0,0,-51.80961264738458,y,y,n,y,n,y,2022-11-05 01:02:00,False,2022-11-05T00:55:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
63,2022-11-05 01:03:00,10702.5,10706.0,10699.0,10704.25,628673.5882352941,-12.064876754166107,-2.077957281659721,-9.986919472506386,38.73363432991027,0,0,-51.136020567311014,y,y,n,y,n,y,,True,,10704.25,,10704.25,10674.25,,,,10704.25,1,1,0,-1,10704.25,NaN,10704.25,1,1,0,0,1
64,2022-11-05 01:04:00,10705.5,10721.25,10704.75,10717.75,629838.4848484849,-11.006073277558244,-0.8153230440414863,-10.190750233516757,45.48872170624257,0,0,-16.220193695602788,y,y,n,y,n,y,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
65,2022-11-05 01:05:00,10718.75,10729.25,10715.5,10721.5,631404.4857142858,-9.751955758532858,0.3510355799871192,-10.102991338519978,47.22926246941438,0,0,27.186680812252046,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
66,2022-11-05 01:06:00,10721.0,10721.75,10712.25,10712.25,632256.5714285715,-9.39614339167747,0.5654783574740065,-9.961621749151476,43.536538251944464,0,0,13.954509173136849,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
67,2022-11-05 01:07:00,10712.75,10714.25,10707.25,10712.5,633179.3243243244,-8.990351441672829,0.7770162459829173,-9.767367687655746,43.664741480381515,0,0,22.915106287261178,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
68,2022-11-05 01:08:00,10710.25,10719.5,10710.25,10718.0,633855.2058823529,-8.131222689484275,1.3089159985371772,-9.440138688021452,46.54057102145047,0,0,37.74855626673608,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
69,2022-11-05 01:09:00,10718.0,10721.5,10715.0,10715.5,634524.34375,-7.564882810254858,1.500204702213276,-9.065087512468134,45.40593268676666,0,0,26.07684576001317,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
70,2022-11-05 01:10:00,10714.25,10714.25,10700.0,10706.75,635486.1621621621,-7.732965436951417,1.0656976604133739,-8.798663097364791,41.58463100948776,0,0,27.11794865391289,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
71,2022-11-05 01:11:00,10706.75,10716.75,10706.5,10707.25,636763.7142857143,-7.736643102460221,0.8496159959236564,-8.586259098383877,41.885605077987044,0,0,17.571258778322427,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
72,2022-11-05 01:12:00,10702.75,10709.5,10696.75,10703.25,637843.3243243244,-7.970445910452327,0.49265055034524075,-8.463096460797567,40.1053629421146,0,0,-40.51539399045538,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
73,2022-11-05 01:13:00,10703.25,10706.25,10695.25,10697.25,638781.3714285714,-8.541425934829022,-0.06266357922516264,-8.478762355603859,37.528721463261036,0,0,-65.19433424518398,y,y,n,y,n,y,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
74,2022-11-05 01:14:00,10697.75,10720.0,10697.5,10717.75,639974.0571428571,-7.2561091341576684,0.9781225771569524,-8.23423171131462,49.47305399994589,0,0,-53.86724826377606,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
75,2022-11-05 01:15:00,10717.75,10733.0,10717.75,10730.5,641713.2352941176,-5.1493098272603675,2.467937507243403,-7.61724733450377,55.20909604428079,0,0,20.2892005377698,y,y,y,n,y,n,2022-11-05 01:15:00,True,2022-11-05T01:02:00,,,,,,,,,0,0,0,0,NaN,NaN,0,0,1,0,0,1
76,2022-11-05 01:16:00,10730.5,10737.5,10728.0,10731.75,643263.7105263158,-3.340286896473117,3.421568350424523,-6.76185524689764,55.73960059937354,0,0,55.43567274676097,y,y,y,n,y,n,,False,,,10731.75,,,10731.75,10761.75,10731.75,,-1,-1,-1,0,NaN,10731.75,0,0,1,10731.75,1,2
77,2022-11-05 01:17:00,10732.0,10737.0,10705.25,10705.25,644395.6571428571,-3.9988554048723017,2.21039987362027,-6.209255278492572,43.875347489175795,0,0,40.96392131896699,y,y,y,n,y,n,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,1,0,0,2
78,2022-11-05 01:18:00,10703.75,10709.0,10694.25,10695.5,646173.972972973,-5.24703465897619,0.7697764956131055,-6.016811154589296,40.46282025698593,0,0,11.726682321835913,y,y,y,n,y,n,2022-11-05 01:18:00,False,2022-11-05T01:15:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,1,0,0,2
79,2022-11-05 01:19:00,10694.75,10694.75,10669.25,10670.0,649051.8055555555,-8.199345645422,-1.746027592666163,-6.4533180527558365,33.19164542426933,0,0,-60.08326947197155,y,y,n,y,n,y,2022-11-05 01:19:00,False,2022-11-05T01:18:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,1,0,0,2
80,2022-11-05 01:20:00,10670.0,10696.25,10670.0,10693.0,651869.0810810811,-8.584212137418945,-1.7047152677304869,-6.879496869688458,43.12006004865816,0,0,-67.88298136105381,y,y,n,y,n,y,,True,,10693.0,,10693.0,10663.0,,,,10693.0,1,1,0,-1,10693.0,NaN,10693.0,1,2,0,0,2
81,2022-11-05 01:21:00,10693.0,10729.5,10691.0,10723.0,654746.5833333334,-6.394757541263971,0.38779146273958975,-6.7825490040035605,52.94318673411207,0,0,-53.409541259701065,y,y,y,n,y,n,2022-11-05 01:21:00,True,2022-11-05T01:19:00,,,,,,,,,0,0,0,0,NaN,NaN,0,0,2,0,0,2
82,2022-11-05 01:22:00,10723.75,10735.75,10718.75,10724.25,656980.1818181818,-4.5067830566258635,1.8206127579021576,-6.327395814528021,53.30504129681039,0,0,-31.91164786510376,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,2,0,0,2
83,2022-11-05 01:23:00,10724.5,10726.5,10715.75,10718.25,658465.7567567568,-3.4548738956527814,2.2980175351001915,-5.752891430752973,51.26716976031798,0,0,-41.35756066668435,y,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,2,0,0,2
84,2022-11-05 01:24:00,10718.25,10727.75,10715.25,10727.25,659375.0,-1.873408041377843,3.103586711500104,-4.976994752877947,54.10169979983738,0,0,24.945565048462154,n,y,y,n,y,n,,True,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,2,0,0,2
85,2022-11-05 01:25:00,10731.0,10732.0,10720.75,10730.0,660645.5454545454,-0.39364524339725904,3.66667960758455,-4.060324850981809,54.96367981174364,0,0,69.64540099156913,n,n,y,n,y,n,2022-11-05 01:25:00,True,2022-11-05T01:21:00,,,,,,,,,0,0,0,0,NaN,NaN,0,0,2,0,0,2
86,2022-11-05 01:26:00,10726.75,10726.75,10714.25,10717.0,661827.5277777778,-0.2668379772476328,3.034789498987341,-3.301627476234974,50.16726878532508,0,0,76.92589982656546,n,n,y,n,y,n,,False,,,10717.0,,,10717.0,10747.0,10717.0,,-1,-1,-1,0,NaN,10717.0,0,0,2,10717.0,1,3
87,2022-11-05 01:27:00,10715.5,10716.25,10712.25,10714.5,662703.7027027027,-0.36387686585112533,2.350200488307079,-2.714077354158204,49.276707898699684,0,0,76.5841760064279,n,n,y,n,y,n,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,2,0,0,3
88,2022-11-05 01:28:00,10715.25,10719.75,10713.5,10719.0,663418.8055555555,-0.07678338124424045,2.109835178331171,-2.1866185595754115,50.96409431563044,0,0,74.31889057029767,n,n,y,n,y,n,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,2,0,0,3
89,2022-11-05 01:29:00,10719.0,10720.5,10712.0,10718.5,664079.0606060605,0.10913639594218694,1.8366039644140788,-1.7274675684718919,50.76203062700171,0,0,42.604651193176,n,n,y,n,y,n,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,2,0,0,3
